;name;distance;dist_change;power;accuracy;complexity;stam_cost;time_cost;qi_cost;features;functions;tier;freq
3711;Ultimate Retreating Debilitating Headbutt;1;1;41;30;1;37;56;50;{'debilitating', 'head', 'ultimate', 'retreating'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];10;1
3712;Retreating Slashing Headbutt;1;1;33;24;1;23;75;15;{'head', 'slashing', 'retreating'};['cause_bleeding'];3;1
3713;Skillful Retreating Slashing Headbutt;1;1;35;25;1;28;71;20;{'head', 'skillful', 'slashing', 'retreating'};['cause_bleeding'];4;1
3714;Superior Retreating Slashing Headbutt;1;1;36;26;1;30;68;25;{'head', 'slashing', 'superior', 'retreating'};['cause_bleeding'];5;1
3715;Advanced Retreating Slashing Headbutt;1;1;38;28;1;32;64;30;{'head', 'slashing', 'advanced', 'retreating'};['cause_bleeding'];6;1
3716;Expert Retreating Slashing Headbutt;1;1;40;29;1;34;60;35;{'head', 'expert', 'slashing', 'retreating'};['cause_bleeding'];7;1
3717;Ultimate Retreating Slashing Headbutt;1;1;41;30;1;37;56;40;{'head', 'slashing', 'ultimate', 'retreating'};['cause_bleeding'];8;1
3718;Retreating Drunken Headbutt;1;1;33;24;2;23;75;10;{'head', 'drunken', 'retreating'};['cause_off_balance'];2;1
3719;Skillful Retreating Drunken Headbutt;1;1;35;25;2;28;71;15;{'head', 'skillful', 'drunken', 'retreating'};['cause_off_balance'];3;1
3720;Superior Retreating Drunken Headbutt;1;1;36;26;2;30;68;20;{'head', 'drunken', 'superior', 'retreating'};['cause_off_balance'];4;1
3721;Advanced Retreating Drunken Headbutt;1;1;38;28;2;32;64;25;{'advanced', 'head', 'drunken', 'retreating'};['cause_off_balance'];5;1
3722;Expert Retreating Drunken Headbutt;1;1;40;29;2;34;60;30;{'head', 'expert', 'drunken', 'retreating'};['cause_off_balance'];6;1
3723;Ultimate Retreating Drunken Headbutt;1;1;41;30;2;37;56;35;{'head', 'drunken', 'ultimate', 'retreating'};['cause_off_balance'];7;1
3724;Onslaught Light Headbutt;3;-2;26;26;2;18;84;15;{'head', 'light', 'onslaught'};[];3;1
3725;Skillful Onslaught Light Headbutt;3;-2;27;27;2;22;80;20;{'head', 'light', 'skillful', 'onslaught'};[];4;1
3726;Superior Onslaught Light Headbutt;3;-2;29;29;2;23;76;25;{'head', 'light', 'onslaught', 'superior'};[];5;1
3727;Advanced Onslaught Light Headbutt;3;-2;30;30;2;25;71;30;{'head', 'light', 'advanced', 'onslaught'};[];6;1
3728;Expert Onslaught Light Headbutt;3;-2;31;31;2;27;67;35;{'head', 'light', 'onslaught', 'expert'};[];7;1
3729;Ultimate Onslaught Light Headbutt;3;-2;32;32;2;29;63;40;{'head', 'light', 'onslaught', 'ultimate'};[];8;1
3730;Onslaught Heavy Headbutt;3;-2;40;22;2;30;84;15;{'head', 'onslaught', 'heavy'};[];3;1
3731;Skillful Onslaught Heavy Headbutt;3;-2;42;23;2;36;80;20;{'head', 'onslaught', 'skillful', 'heavy'};[];4;1
3732;Superior Onslaught Heavy Headbutt;3;-2;44;24;2;39;76;25;{'head', 'onslaught', 'heavy', 'superior'};[];5;1
3733;Advanced Onslaught Heavy Headbutt;3;-2;46;25;2;42;71;30;{'head', 'onslaught', 'advanced', 'heavy'};[];6;1
3734;Expert Onslaught Heavy Headbutt;3;-2;48;26;2;45;67;35;{'head', 'onslaught', 'heavy', 'expert'};[];7;1
3735;Ultimate Onslaught Heavy Headbutt;3;-2;50;28;2;48;63;40;{'head', 'onslaught', 'heavy', 'ultimate'};[];8;1
3736;Onslaught Power Headbutt;3;-2;33;24;2;24;84;20;{'head', 'onslaught', 'power'};['do_strength_based_dam'];4;1
3737;Skillful Onslaught Power Headbutt;3;-2;35;25;2;29;80;25;{'head', 'onslaught', 'skillful', 'power'};['do_strength_based_dam'];5;1
3738;Superior Onslaught Power Headbutt;3;-2;36;26;2;31;76;30;{'head', 'onslaught', 'power', 'superior'};['do_strength_based_dam'];6;1
3739;Advanced Onslaught Power Headbutt;3;-2;38;28;2;34;71;35;{'head', 'onslaught', 'advanced', 'power'};['do_strength_based_dam'];7;1
3740;Expert Onslaught Power Headbutt;3;-2;40;29;2;36;67;40;{'head', 'onslaught', 'power', 'expert'};['do_strength_based_dam'];8;1
3741;Ultimate Onslaught Power Headbutt;3;-2;41;30;2;38;63;45;{'head', 'onslaught', 'power', 'ultimate'};['do_strength_based_dam'];9;1
3742;Onslaught Trick Headbutt;3;-2;33;24;2;24;84;20;{'head', 'trick', 'onslaught'};['do_agility_based_dam'];4;1
3743;Skillful Onslaught Trick Headbutt;3;-2;35;25;2;29;80;25;{'head', 'skillful', 'trick', 'onslaught'};['do_agility_based_dam'];5;1
3744;Superior Onslaught Trick Headbutt;3;-2;36;26;2;31;76;30;{'head', 'trick', 'onslaught', 'superior'};['do_agility_based_dam'];6;1
3745;Advanced Onslaught Trick Headbutt;3;-2;38;28;2;34;71;35;{'advanced', 'head', 'trick', 'onslaught'};['do_agility_based_dam'];7;1
3746;Expert Onslaught Trick Headbutt;3;-2;40;29;2;36;67;40;{'head', 'expert', 'trick', 'onslaught'};['do_agility_based_dam'];8;1
3747;Ultimate Onslaught Trick Headbutt;3;-2;41;30;2;38;63;45;{'head', 'trick', 'onslaught', 'ultimate'};['do_agility_based_dam'];9;1
3748;Onslaught Lightning Headbutt;3;-2;33;24;2;24;84;20;{'head', 'onslaught', 'lightning'};['do_speed_based_dam'];4;1
3749;Skillful Onslaught Lightning Headbutt;3;-2;35;25;2;29;80;25;{'head', 'onslaught', 'skillful', 'lightning'};['do_speed_based_dam'];5;1
3750;Superior Onslaught Lightning Headbutt;3;-2;36;26;2;31;76;30;{'head', 'onslaught', 'lightning', 'superior'};['do_speed_based_dam'];6;1
3751;Advanced Onslaught Lightning Headbutt;3;-2;38;28;2;34;71;35;{'head', 'onslaught', 'advanced', 'lightning'};['do_speed_based_dam'];7;1
3752;Expert Onslaught Lightning Headbutt;3;-2;40;29;2;36;67;40;{'head', 'onslaught', 'lightning', 'expert'};['do_speed_based_dam'];8;1
3753;Ultimate Onslaught Lightning Headbutt;3;-2;41;30;2;38;63;45;{'head', 'onslaught', 'lightning', 'ultimate'};['do_speed_based_dam'];9;1
3754;Onslaught Energy Headbutt;3;-2;33;24;2;24;84;20;{'head', 'onslaught', 'energy'};['do_qi_based_dam'];4;1
3755;Skillful Onslaught Energy Headbutt;3;-2;35;25;2;29;80;25;{'head', 'skillful', 'onslaught', 'energy'};['do_qi_based_dam'];5;1
3756;Superior Onslaught Energy Headbutt;3;-2;36;26;2;31;76;30;{'head', 'superior', 'onslaught', 'energy'};['do_qi_based_dam'];6;1
3757;Advanced Onslaught Energy Headbutt;3;-2;38;28;2;34;71;35;{'head', 'advanced', 'onslaught', 'energy'};['do_qi_based_dam'];7;1
3758;Expert Onslaught Energy Headbutt;3;-2;40;29;2;36;67;40;{'head', 'expert', 'onslaught', 'energy'};['do_qi_based_dam'];8;1
3759;Ultimate Onslaught Energy Headbutt;3;-2;41;30;2;38;63;45;{'head', 'ultimate', 'onslaught', 'energy'};['do_qi_based_dam'];9;1
3760;Onslaught Ferocious Headbutt;3;-2;33;24;2;29;84;25;{'head', 'ferocious', 'onslaught'};['do_speed_based_dam', 'do_strength_based_dam'];5;1
3761;Skillful Onslaught Ferocious Headbutt;3;-2;35;25;2;35;80;30;{'head', 'skillful', 'ferocious', 'onslaught'};['do_speed_based_dam', 'do_strength_based_dam'];6;1
3762;Superior Onslaught Ferocious Headbutt;3;-2;36;26;2;38;76;35;{'head', 'ferocious', 'onslaught', 'superior'};['do_speed_based_dam', 'do_strength_based_dam'];7;1
3763;Advanced Onslaught Ferocious Headbutt;3;-2;38;28;2;41;71;40;{'head', 'ferocious', 'advanced', 'onslaught'};['do_speed_based_dam', 'do_strength_based_dam'];8;1
3764;Expert Onslaught Ferocious Headbutt;3;-2;40;29;2;44;67;45;{'head', 'expert', 'ferocious', 'onslaught'};['do_speed_based_dam', 'do_strength_based_dam'];9;1
3765;Ultimate Onslaught Ferocious Headbutt;3;-2;41;30;2;46;63;50;{'head', 'ferocious', 'onslaught', 'ultimate'};['do_speed_based_dam', 'do_strength_based_dam'];10;1
3766;Onslaught Piercing Headbutt;3;-2;33;24;2;29;84;25;{'head', 'piercing', 'onslaught'};['do_agility_based_dam', 'do_speed_based_dam'];5;1
3767;Skillful Onslaught Piercing Headbutt;3;-2;35;25;2;35;80;30;{'head', 'piercing', 'skillful', 'onslaught'};['do_agility_based_dam', 'do_speed_based_dam'];6;1
3768;Superior Onslaught Piercing Headbutt;3;-2;36;26;2;38;76;35;{'head', 'piercing', 'onslaught', 'superior'};['do_agility_based_dam', 'do_speed_based_dam'];7;1
3769;Advanced Onslaught Piercing Headbutt;3;-2;38;28;2;41;71;40;{'head', 'piercing', 'advanced', 'onslaught'};['do_agility_based_dam', 'do_speed_based_dam'];8;1
3770;Expert Onslaught Piercing Headbutt;3;-2;40;29;2;44;67;45;{'head', 'piercing', 'expert', 'onslaught'};['do_agility_based_dam', 'do_speed_based_dam'];9;1
3771;Ultimate Onslaught Piercing Headbutt;3;-2;41;30;2;46;63;50;{'head', 'piercing', 'onslaught', 'ultimate'};['do_agility_based_dam', 'do_speed_based_dam'];10;1
3772;Onslaught Shocking Headbutt;3;-2;33;24;2;24;84;20;{'head', 'onslaught', 'shocking'};['do_shock_move'];4;1
3773;Skillful Onslaught Shocking Headbutt;3;-2;35;25;2;29;80;25;{'head', 'skillful', 'onslaught', 'shocking'};['do_shock_move'];5;1
3774;Superior Onslaught Shocking Headbutt;3;-2;36;26;2;31;76;30;{'head', 'superior', 'onslaught', 'shocking'};['do_shock_move'];6;1
3775;Advanced Onslaught Shocking Headbutt;3;-2;38;28;2;34;71;35;{'head', 'advanced', 'onslaught', 'shocking'};['do_shock_move'];7;1
3776;Expert Onslaught Shocking Headbutt;3;-2;40;29;2;36;67;40;{'head', 'expert', 'onslaught', 'shocking'};['do_shock_move'];8;1
3777;Ultimate Onslaught Shocking Headbutt;3;-2;41;30;2;38;63;45;{'head', 'ultimate', 'onslaught', 'shocking'};['do_shock_move'];9;1
3778;Onslaught Solar Headbutt;3;-2;33;24;2;24;84;20;{'solar', 'head', 'onslaught'};['do_stam_dam'];4;1
3779;Skillful Onslaught Solar Headbutt;3;-2;35;25;2;29;80;25;{'solar', 'head', 'skillful', 'onslaught'};['do_stam_dam'];5;1
3780;Superior Onslaught Solar Headbutt;3;-2;36;26;2;31;76;30;{'solar', 'head', 'onslaught', 'superior'};['do_stam_dam'];6;1
3781;Advanced Onslaught Solar Headbutt;3;-2;38;28;2;34;71;35;{'solar', 'head', 'advanced', 'onslaught'};['do_stam_dam'];7;1
3782;Expert Onslaught Solar Headbutt;3;-2;40;29;2;36;67;40;{'solar', 'head', 'expert', 'onslaught'};['do_stam_dam'];8;1
3783;Ultimate Onslaught Solar Headbutt;3;-2;41;30;2;38;63;45;{'solar', 'head', 'onslaught', 'ultimate'};['do_stam_dam'];9;1
3784;Onslaught Nerve Headbutt;3;-2;33;24;2;24;84;20;{'head', 'nerve', 'onslaught'};['do_mob_dam'];4;1
3785;Skillful Onslaught Nerve Headbutt;3;-2;35;25;2;29;80;25;{'head', 'skillful', 'nerve', 'onslaught'};['do_mob_dam'];5;1
3786;Superior Onslaught Nerve Headbutt;3;-2;36;26;2;31;76;30;{'head', 'nerve', 'onslaught', 'superior'};['do_mob_dam'];6;1
3787;Advanced Onslaught Nerve Headbutt;3;-2;38;28;2;34;71;35;{'head', 'nerve', 'advanced', 'onslaught'};['do_mob_dam'];7;1
3788;Expert Onslaught Nerve Headbutt;3;-2;40;29;2;36;67;40;{'head', 'expert', 'nerve', 'onslaught'};['do_mob_dam'];8;1
3789;Ultimate Onslaught Nerve Headbutt;3;-2;41;30;2;38;63;45;{'head', 'nerve', 'onslaught', 'ultimate'};['do_mob_dam'];9;1
3790;Onslaught Debilitating Headbutt;3;-2;33;24;2;24;84;30;{'debilitating', 'head', 'onslaught'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];6;1
3791;Skillful Onslaught Debilitating Headbutt;3;-2;35;25;2;29;80;35;{'debilitating', 'head', 'skillful', 'onslaught'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];7;1
3792;Superior Onslaught Debilitating Headbutt;3;-2;36;26;2;31;76;40;{'debilitating', 'head', 'onslaught', 'superior'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];8;1
3793;Advanced Onslaught Debilitating Headbutt;3;-2;38;28;2;34;71;45;{'debilitating', 'head', 'advanced', 'onslaught'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];9;1
3794;Expert Onslaught Debilitating Headbutt;3;-2;40;29;2;36;67;50;{'debilitating', 'head', 'expert', 'onslaught'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];10;1
3795;Ultimate Onslaught Debilitating Headbutt;3;-2;41;30;2;38;63;55;{'debilitating', 'head', 'onslaught', 'ultimate'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];11;1
3796;Onslaught Slashing Headbutt;3;-2;33;24;2;24;84;20;{'head', 'slashing', 'onslaught'};['cause_bleeding'];4;1
3797;Skillful Onslaught Slashing Headbutt;3;-2;35;25;2;29;80;25;{'head', 'skillful', 'slashing', 'onslaught'};['cause_bleeding'];5;1
3798;Superior Onslaught Slashing Headbutt;3;-2;36;26;2;31;76;30;{'head', 'slashing', 'onslaught', 'superior'};['cause_bleeding'];6;1
3799;Advanced Onslaught Slashing Headbutt;3;-2;38;28;2;34;71;35;{'head', 'slashing', 'advanced', 'onslaught'};['cause_bleeding'];7;1
3800;Expert Onslaught Slashing Headbutt;3;-2;40;29;2;36;67;40;{'head', 'expert', 'slashing', 'onslaught'};['cause_bleeding'];8;1
3801;Ultimate Onslaught Slashing Headbutt;3;-2;41;30;2;38;63;45;{'head', 'slashing', 'onslaught', 'ultimate'};['cause_bleeding'];9;1
3802;Onslaught Drunken Headbutt;3;-2;33;24;3;24;84;15;{'head', 'drunken', 'onslaught'};['cause_off_balance'];3;1
3803;Skillful Onslaught Drunken Headbutt;3;-2;35;25;3;29;80;20;{'head', 'skillful', 'drunken', 'onslaught'};['cause_off_balance'];4;1
3804;Superior Onslaught Drunken Headbutt;3;-2;36;26;3;31;76;25;{'head', 'drunken', 'onslaught', 'superior'};['cause_off_balance'];5;1
3805;Advanced Onslaught Drunken Headbutt;3;-2;38;28;3;34;71;30;{'advanced', 'head', 'drunken', 'onslaught'};['cause_off_balance'];6;1
3806;Expert Onslaught Drunken Headbutt;3;-2;40;29;3;36;67;35;{'head', 'expert', 'drunken', 'onslaught'};['cause_off_balance'];7;1
3807;Ultimate Onslaught Drunken Headbutt;3;-2;41;30;3;38;63;40;{'head', 'drunken', 'onslaught', 'ultimate'};['cause_off_balance'];8;1
3808;Vanishing Headbutt;1;2;33;24;2;25;87;10;{'vanishing', 'head'};[];2;1
3809;Skillful Vanishing Headbutt;1;2;35;25;2;30;83;15;{'vanishing', 'head', 'skillful'};[];3;1
3810;Superior Vanishing Headbutt;1;2;36;26;2;32;78;20;{'vanishing', 'head', 'superior'};[];4;1
3811;Advanced Vanishing Headbutt;1;2;38;28;2;35;74;25;{'vanishing', 'head', 'advanced'};[];5;1
3812;Expert Vanishing Headbutt;1;2;40;29;2;38;70;30;{'vanishing', 'head', 'expert'};[];6;1
3813;Ultimate Vanishing Headbutt;1;2;41;30;2;40;65;35;{'vanishing', 'head', 'ultimate'};[];7;1
3814;Vanishing Light Headbutt;1;2;26;26;2;19;87;15;{'vanishing', 'head', 'light'};[];3;1
3815;Skillful Vanishing Light Headbutt;1;2;27;27;2;23;83;20;{'vanishing', 'head', 'light', 'skillful'};[];4;1
3816;Superior Vanishing Light Headbutt;1;2;29;29;2;25;78;25;{'vanishing', 'head', 'light', 'superior'};[];5;1
3817;Advanced Vanishing Light Headbutt;1;2;30;30;2;27;74;30;{'vanishing', 'head', 'light', 'advanced'};[];6;1
3818;Expert Vanishing Light Headbutt;1;2;31;31;2;28;70;35;{'vanishing', 'head', 'light', 'expert'};[];7;1
3819;Ultimate Vanishing Light Headbutt;1;2;32;32;2;30;65;40;{'vanishing', 'head', 'light', 'ultimate'};[];8;1
3820;Vanishing Heavy Headbutt;1;2;40;22;2;31;87;15;{'vanishing', 'head', 'heavy'};[];3;1
3821;Skillful Vanishing Heavy Headbutt;1;2;42;23;2;37;83;20;{'vanishing', 'head', 'skillful', 'heavy'};[];4;1
3822;Superior Vanishing Heavy Headbutt;1;2;44;24;2;40;78;25;{'vanishing', 'head', 'heavy', 'superior'};[];5;1
3823;Advanced Vanishing Heavy Headbutt;1;2;46;25;2;43;74;30;{'vanishing', 'head', 'advanced', 'heavy'};[];6;1
3824;Expert Vanishing Heavy Headbutt;1;2;48;26;2;46;70;35;{'vanishing', 'head', 'expert', 'heavy'};[];7;1
3825;Ultimate Vanishing Heavy Headbutt;1;2;50;28;2;50;65;40;{'vanishing', 'head', 'heavy', 'ultimate'};[];8;1
3826;Vanishing Power Headbutt;1;2;33;24;2;25;87;20;{'vanishing', 'head', 'power'};['do_strength_based_dam'];4;1
3827;Skillful Vanishing Power Headbutt;1;2;35;25;2;30;83;25;{'vanishing', 'head', 'skillful', 'power'};['do_strength_based_dam'];5;1
3828;Superior Vanishing Power Headbutt;1;2;36;26;2;32;78;30;{'vanishing', 'head', 'power', 'superior'};['do_strength_based_dam'];6;1
3829;Advanced Vanishing Power Headbutt;1;2;38;28;2;35;74;35;{'vanishing', 'head', 'advanced', 'power'};['do_strength_based_dam'];7;1
3830;Expert Vanishing Power Headbutt;1;2;40;29;2;38;70;40;{'vanishing', 'head', 'expert', 'power'};['do_strength_based_dam'];8;1
3831;Ultimate Vanishing Power Headbutt;1;2;41;30;2;40;65;45;{'vanishing', 'head', 'power', 'ultimate'};['do_strength_based_dam'];9;1
3832;Vanishing Trick Headbutt;1;2;33;24;2;25;87;20;{'vanishing', 'head', 'trick'};['do_agility_based_dam'];4;1
3833;Skillful Vanishing Trick Headbutt;1;2;35;25;2;30;83;25;{'vanishing', 'head', 'skillful', 'trick'};['do_agility_based_dam'];5;1
3834;Superior Vanishing Trick Headbutt;1;2;36;26;2;32;78;30;{'vanishing', 'head', 'trick', 'superior'};['do_agility_based_dam'];6;1
3835;Advanced Vanishing Trick Headbutt;1;2;38;28;2;35;74;35;{'vanishing', 'head', 'advanced', 'trick'};['do_agility_based_dam'];7;1
3836;Expert Vanishing Trick Headbutt;1;2;40;29;2;38;70;40;{'vanishing', 'head', 'expert', 'trick'};['do_agility_based_dam'];8;1
3837;Ultimate Vanishing Trick Headbutt;1;2;41;30;2;40;65;45;{'vanishing', 'head', 'trick', 'ultimate'};['do_agility_based_dam'];9;1
3838;Vanishing Lightning Headbutt;1;2;33;24;2;25;87;20;{'vanishing', 'head', 'lightning'};['do_speed_based_dam'];4;1
3839;Skillful Vanishing Lightning Headbutt;1;2;35;25;2;30;83;25;{'vanishing', 'head', 'skillful', 'lightning'};['do_speed_based_dam'];5;1
3840;Superior Vanishing Lightning Headbutt;1;2;36;26;2;32;78;30;{'vanishing', 'head', 'lightning', 'superior'};['do_speed_based_dam'];6;1
3841;Advanced Vanishing Lightning Headbutt;1;2;38;28;2;35;74;35;{'vanishing', 'head', 'advanced', 'lightning'};['do_speed_based_dam'];7;1
3842;Expert Vanishing Lightning Headbutt;1;2;40;29;2;38;70;40;{'vanishing', 'head', 'expert', 'lightning'};['do_speed_based_dam'];8;1
3843;Ultimate Vanishing Lightning Headbutt;1;2;41;30;2;40;65;45;{'vanishing', 'head', 'lightning', 'ultimate'};['do_speed_based_dam'];9;1
3844;Vanishing Energy Headbutt;1;2;33;24;2;25;87;20;{'vanishing', 'head', 'energy'};['do_qi_based_dam'];4;1
3845;Skillful Vanishing Energy Headbutt;1;2;35;25;2;30;83;25;{'vanishing', 'head', 'skillful', 'energy'};['do_qi_based_dam'];5;1
3846;Superior Vanishing Energy Headbutt;1;2;36;26;2;32;78;30;{'vanishing', 'head', 'superior', 'energy'};['do_qi_based_dam'];6;1
3847;Advanced Vanishing Energy Headbutt;1;2;38;28;2;35;74;35;{'vanishing', 'head', 'advanced', 'energy'};['do_qi_based_dam'];7;1
3848;Expert Vanishing Energy Headbutt;1;2;40;29;2;38;70;40;{'vanishing', 'head', 'expert', 'energy'};['do_qi_based_dam'];8;1
3849;Ultimate Vanishing Energy Headbutt;1;2;41;30;2;40;65;45;{'vanishing', 'head', 'ultimate', 'energy'};['do_qi_based_dam'];9;1
3850;Vanishing Piercing Headbutt;1;2;33;24;2;30;87;25;{'vanishing', 'head', 'piercing'};['do_agility_based_dam', 'do_speed_based_dam'];5;1
3851;Skillful Vanishing Piercing Headbutt;1;2;35;25;2;36;83;30;{'vanishing', 'head', 'piercing', 'skillful'};['do_agility_based_dam', 'do_speed_based_dam'];6;1
3852;Superior Vanishing Piercing Headbutt;1;2;36;26;2;39;78;35;{'vanishing', 'head', 'piercing', 'superior'};['do_agility_based_dam', 'do_speed_based_dam'];7;1
3853;Advanced Vanishing Piercing Headbutt;1;2;38;28;2;42;74;40;{'vanishing', 'head', 'piercing', 'advanced'};['do_agility_based_dam', 'do_speed_based_dam'];8;1
3854;Expert Vanishing Piercing Headbutt;1;2;40;29;2;45;70;45;{'vanishing', 'head', 'piercing', 'expert'};['do_agility_based_dam', 'do_speed_based_dam'];9;1
3855;Ultimate Vanishing Piercing Headbutt;1;2;41;30;2;48;65;50;{'vanishing', 'head', 'piercing', 'ultimate'};['do_agility_based_dam', 'do_speed_based_dam'];10;1
3856;Vanishing Shocking Headbutt;1;2;33;24;2;25;87;20;{'vanishing', 'head', 'shocking'};['do_shock_move'];4;1
3857;Skillful Vanishing Shocking Headbutt;1;2;35;25;2;30;83;25;{'vanishing', 'head', 'skillful', 'shocking'};['do_shock_move'];5;1
3858;Superior Vanishing Shocking Headbutt;1;2;36;26;2;32;78;30;{'vanishing', 'head', 'superior', 'shocking'};['do_shock_move'];6;1
3859;Advanced Vanishing Shocking Headbutt;1;2;38;28;2;35;74;35;{'vanishing', 'head', 'advanced', 'shocking'};['do_shock_move'];7;1
3860;Expert Vanishing Shocking Headbutt;1;2;40;29;2;38;70;40;{'vanishing', 'head', 'expert', 'shocking'};['do_shock_move'];8;1
3861;Ultimate Vanishing Shocking Headbutt;1;2;41;30;2;40;65;45;{'vanishing', 'head', 'ultimate', 'shocking'};['do_shock_move'];9;1
3862;Vanishing Solar Headbutt;1;2;33;24;2;25;87;20;{'solar', 'head', 'vanishing'};['do_stam_dam'];4;1
3863;Skillful Vanishing Solar Headbutt;1;2;35;25;2;30;83;25;{'solar', 'head', 'skillful', 'vanishing'};['do_stam_dam'];5;1
3864;Superior Vanishing Solar Headbutt;1;2;36;26;2;32;78;30;{'solar', 'head', 'vanishing', 'superior'};['do_stam_dam'];6;1
3865;Advanced Vanishing Solar Headbutt;1;2;38;28;2;35;74;35;{'solar', 'head', 'vanishing', 'advanced'};['do_stam_dam'];7;1
3866;Expert Vanishing Solar Headbutt;1;2;40;29;2;38;70;40;{'solar', 'head', 'expert', 'vanishing'};['do_stam_dam'];8;1
3867;Ultimate Vanishing Solar Headbutt;1;2;41;30;2;40;65;45;{'solar', 'head', 'vanishing', 'ultimate'};['do_stam_dam'];9;1
3868;Vanishing Nerve Headbutt;1;2;33;24;2;25;87;20;{'vanishing', 'head', 'nerve'};['do_mob_dam'];4;1
3869;Skillful Vanishing Nerve Headbutt;1;2;35;25;2;30;83;25;{'vanishing', 'head', 'skillful', 'nerve'};['do_mob_dam'];5;1
3870;Superior Vanishing Nerve Headbutt;1;2;36;26;2;32;78;30;{'vanishing', 'head', 'nerve', 'superior'};['do_mob_dam'];6;1
3871;Advanced Vanishing Nerve Headbutt;1;2;38;28;2;35;74;35;{'vanishing', 'head', 'nerve', 'advanced'};['do_mob_dam'];7;1
3872;Expert Vanishing Nerve Headbutt;1;2;40;29;2;38;70;40;{'vanishing', 'head', 'expert', 'nerve'};['do_mob_dam'];8;1
3873;Ultimate Vanishing Nerve Headbutt;1;2;41;30;2;40;65;45;{'vanishing', 'head', 'nerve', 'ultimate'};['do_mob_dam'];9;1
3874;Vanishing Debilitating Headbutt;1;2;33;24;2;25;87;30;{'debilitating', 'head', 'vanishing'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];6;1
3875;Skillful Vanishing Debilitating Headbutt;1;2;35;25;2;30;83;35;{'debilitating', 'head', 'skillful', 'vanishing'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];7;1
3876;Superior Vanishing Debilitating Headbutt;1;2;36;26;2;32;78;40;{'debilitating', 'head', 'vanishing', 'superior'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];8;1
3877;Advanced Vanishing Debilitating Headbutt;1;2;38;28;2;35;74;45;{'debilitating', 'head', 'vanishing', 'advanced'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];9;1
3878;Expert Vanishing Debilitating Headbutt;1;2;40;29;2;38;70;50;{'debilitating', 'head', 'expert', 'vanishing'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];10;1
3879;Ultimate Vanishing Debilitating Headbutt;1;2;41;30;2;40;65;55;{'debilitating', 'head', 'vanishing', 'ultimate'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];11;1
3880;Vanishing Slashing Headbutt;1;2;33;24;2;25;87;20;{'vanishing', 'head', 'slashing'};['cause_bleeding'];4;1
3881;Skillful Vanishing Slashing Headbutt;1;2;35;25;2;30;83;25;{'vanishing', 'head', 'skillful', 'slashing'};['cause_bleeding'];5;1
3882;Superior Vanishing Slashing Headbutt;1;2;36;26;2;32;78;30;{'vanishing', 'head', 'slashing', 'superior'};['cause_bleeding'];6;1
3883;Advanced Vanishing Slashing Headbutt;1;2;38;28;2;35;74;35;{'vanishing', 'head', 'slashing', 'advanced'};['cause_bleeding'];7;1
3884;Expert Vanishing Slashing Headbutt;1;2;40;29;2;38;70;40;{'vanishing', 'head', 'expert', 'slashing'};['cause_bleeding'];8;1
3885;Ultimate Vanishing Slashing Headbutt;1;2;41;30;2;40;65;45;{'vanishing', 'head', 'slashing', 'ultimate'};['cause_bleeding'];9;1
3886;Vanishing Drunken Headbutt;1;2;33;24;3;25;87;15;{'vanishing', 'head', 'drunken'};['cause_off_balance'];3;1
3887;Skillful Vanishing Drunken Headbutt;1;2;35;25;3;30;83;20;{'vanishing', 'head', 'skillful', 'drunken'};['cause_off_balance'];4;1
3888;Superior Vanishing Drunken Headbutt;1;2;36;26;3;32;78;25;{'vanishing', 'head', 'drunken', 'superior'};['cause_off_balance'];5;1
3889;Advanced Vanishing Drunken Headbutt;1;2;38;28;3;35;74;30;{'vanishing', 'head', 'advanced', 'drunken'};['cause_off_balance'];6;1
3890;Expert Vanishing Drunken Headbutt;1;2;40;29;3;38;70;35;{'vanishing', 'head', 'expert', 'drunken'};['cause_off_balance'];7;1
3891;Ultimate Vanishing Drunken Headbutt;1;2;41;30;3;40;65;40;{'vanishing', 'head', 'drunken', 'ultimate'};['cause_off_balance'];8;1
3892;Pushing Heavy Headbutt;1;0;40;22;1;25;60;10;{'head', 'pushing', 'heavy'};['do_knockback'];2;1
3893;Skillful Pushing Heavy Headbutt;1;0;42;23;1;30;57;15;{'head', 'skillful', 'pushing', 'heavy'};['do_knockback'];3;1
3894;Superior Pushing Heavy Headbutt;1;0;44;24;1;32;54;20;{'head', 'pushing', 'heavy', 'superior'};['do_knockback'];4;1
3895;Advanced Pushing Heavy Headbutt;1;0;46;25;1;35;51;25;{'head', 'pushing', 'advanced', 'heavy'};['do_knockback'];5;1
